age,bio,job,school,anthem_title,anthem_artist,gender,descriptor_text,interest_text,total_photos,desition,longitud,latitud,hash_key,descriptor,interest,city_hashed
18.0,::anatomical_heart: :venezuela:,['NotSpecified'],,,,Woman,|Virgo|Gym rat, festivals instagram travel world traveler shopping,5,2,-3.684574,40.415211,4.2201851182806456e+18,"['Virgo', 'Gym rat']","['Festivals', 'Instagram', 'Travel', 'World Traveler', 'Shopping']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
25.0,i don't know what i want or what i'm looking for hahaha   weird depending on who you ask,['NotSpecified'],,,,Woman,|Better in person|Occasionally|Non-smoker|Dog, walking travel movies music outdoors,8,2,-3.684574,40.415211,3.602085454066092e+18,"['Better in person', 'Occasionally', 'Non-smoker', 'Dog']","['Walking', 'Travel', 'Movies', 'Music', 'Outdoors']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20.0,to the insta better: :sparkling_heart:,['NotSpecified'],Grado Medio Estetica Y Belleza,MIDDLE OF THE NHT,Elley Duhé,Woman,|Virgo|B time texter|Non-smoker|All the drinks|Pet-free|Influencer status|Gym rat, fashion grab a drink instagram photography party animal,11,2,-3.684574,40.415211,4.553126572396488e+18,"['Virgo', 'B time texter', 'Non-smoker', 'All the drinks', 'Pet-free', 'Influencer status', 'Gym rat']","['Fashion', 'Grab a drink', 'Instagram', 'Photography', 'Party Animal']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
19.0,:libra: :woman_fairy_light_skin_tone::performing_arts::dizzy::crystal_ball::clapper_board::butterfly::camera::rainbow::hot_beverage::peru::nazar_amulet::yin_yang: artes escénicas y comunicación audiovisual,['NotSpecified'],,jawbreaker,Machine Gun Kelly,Woman,|Libra|Better in person, museum photography language exchange coffee spirituality,13,2,-3.684574,40.415211,-5.379741071921033e+18,"['Libra', 'Better in person']","['Museum', 'Photography', 'Language Exchange', 'Coffee', 'Spirituality']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
20.0,"if you are the one in the last photo, go ahead, talk to me, don't be shy :relieved_face:",['NotSpecified'],,Kiss Me More (feat. SZA),Doja Cat; SZA,Woman,|Cat|Virgo, coffee gamer cat lover,12,2,-3.684574,40.415211,4.418116616257535e+18,"['Cat', 'Virgo']","['Coffee', 'Gamer', 'Cat lover']",8206299e7d15db1d75e8c44c5f48523d4f88f0513b6adcc1e959022ba3525271
24.0,discovering new places; chill out plans and the occasional beer.,['NotSpecified'],Universidad Autónoma de Madrid,MAFIOSA,Nathy Peluso,Woman,|Non-smoker, comedy brunch musician baking working out,14,2,-3.684574,40.415211,-7.203981643610752e+18,['Non-smoker'],"['Comedy', 'Brunch', 'Musician', 'Baking', 'Working out']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
23.0,:ice:,['NotSpecified'],,,,Woman,, foodie grab a drink parties working out movies,6,2,-3.684574,40.415211,3.425557875676373e+18,[],"['Foodie', 'Grab a drink', 'Parties', 'Working out', 'Movies']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21.0,best insta,['NotSpecified'],,,,Woman,, netflix music fashion grab a drink,7,2,-3.684574,40.415211,5.066869748382589e+18,[],"['Netflix', 'Music', 'Fashion', 'Grab a drink']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
26.0,venezuela :venezuela::red_heart: :round_pushpin::ceuta_&_melilla:,['NotSpecified'],,,,Woman,|Non-smoker|Scorpio, dancing craft beer netflix travel music,7,2,-3.684574,40.415211,-5.894135762683515e+18,"['Non-smoker', 'Scorpio']","['Dancing', 'Craft Beer', 'Netflix', 'Travel', 'Music']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
18.0, talk to me on instagram < i put a random age i'm a year younger i'm sorry i'm going to cry   if you like one piece talk to me on instagram please,['NotSpecified'],,Dark Red,Steve Lacy,Woman,|Scorpio|B time texter|Sober|Socially active|Occasionally|Non-smoker|Dog|Hh School, astrology language exchange music singer gamer,5,2,-3.684574,40.415211,-5.901278632561015e+18,"['Scorpio', 'B time texter', 'Sober', 'Socially active', 'Occasionally', 'Non-smoker', 'Dog', 'Hh School']","['Astrology', 'Language Exchange', 'Music', 'Singer', 'Gamer']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20.0, scorpion:scorpion: peruvian in :round_pushpin:madrid,['NotSpecified'],,,,Woman,|Omnivore|Socially active|Occasionally|Scorpio|Beer|Dog, travel dog lover outdoors instagram fashion,8,2,-3.684574,40.415211,1.5521445029815084e+18,"['Omnivore', 'Socially active', 'Occasionally', 'Scorpio', 'Beer', 'Dog']","['Travel', 'Dog lover', 'Outdoors', 'Instagram', 'Fashion']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
22.0,i love to have fun and joke around; always down for a good road trip and some fun :mushroom::leaf_fluttering_in_wind: unfortunately; i dont speak spanish :(,['NotSpecified'],Saint Louis University,,,Woman,, movies road trips dog lover foodie escape cafe,12,2,-3.684574,40.415211,-7.420044125601376e+18,[],"['Movies', 'Road Trips', 'Dog lover', 'Foodie', 'Escape Cafe']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
19.0,fool whoever reads this (sorry i'm not old i swear),['NotSpecified'],Universidad Autónoma de Barcelona,Hey There Delilah,Plain White T's,Woman,|Occasionally|All the drinks|In College|Pet-free, nature grab a drink foodie travel art,14,2,-3.684574,40.415211,-6.210713000731248e+18,"['Occasionally', 'All the drinks', 'In College', 'Pet-free']","['Nature', 'Grab a drink', 'Foodie', 'Travel', 'Art']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
19.0,live music and beers; the best plan here we work on twitter humor   :scorpio: :red_heart::yellow_heart::purple_heart:,['Animación Sociocultural y Turística'],IES Barrio de Bilbao,Nebulosa Jade,Rufus T. Firefly,Woman,|Scorpio|Beer|Dog, camping travel dog lover photography music,12,2,-3.684574,40.415211,6.094576471043213e+17,"['Scorpio', 'Beer', 'Dog']","['Camping', 'Travel', 'Dog lover', 'Photography', 'Music']",23a4210d85de9994cd8e0034f2f358935e577cfd4c80c40a5f74520c288a1e0f
22.0,i'm looking to meet people with whom i can connect; if you just want to have sex… next,['NotSpecified'],,,,Woman,|Capricorn|Better in person|Non-smoker|All the drinks|Carnivore|Dog|Never, movies grab a drink shopping dog lover netflix,5,2,-3.684574,40.415211,1.275060629595566e+18,"['Capricorn', 'Better in person', 'Non-smoker', 'All the drinks', 'Carnivore', 'Dog', 'Never']","['Movies', 'Grab a drink', 'Shopping', 'Dog lover', 'Netflix']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
23.0,"i am friendly, funny and cheerful. i want to meet new people :)",['NotSpecified'],,,,Woman,, grab a drink instagram reading tattoos shopping,13,2,-3.684574,40.415211,-2.1603202756398405e+18,[],"['Grab a drink', 'Instagram', 'Reading', 'Tattoos', 'Shopping']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
29.0,nan,['NotSpecified'],,Hallelujah,Pentatonix,Woman,|Sober|Occasionally|Non-smoker|Taurus|Bachelors|Carnivore, escape cafe reading hiking road trips board games,1,2,-3.684574,40.415211,-1.9906526953284887e+18,"['Sober', 'Occasionally', 'Non-smoker', 'Taurus', 'Bachelors', 'Carnivore']","['Escape Cafe', 'Reading', 'Hiking', 'Road Trips', 'Board Games']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
21.0,belgian blood ,['NotSpecified'],,#YawaDey,Burna Boy,Woman,|Non-smoker|Capricorn|Dog, instagram travel shopping working out picnicking,11,2,-3.684574,40.415211,-6.177510402772489e+18,"['Non-smoker', 'Capricorn', 'Dog']","['Instagram', 'Travel', 'Shopping', 'Working out', 'Picnicking']",0734d3d74dd7587d5620ffe0845b9e410f9c7c4f5e52fad88749e348f075d3b8
20.0,nan,['NotSpecified'],,Dead Man Walking,Brent Faiyaz,Woman,|Sagittarius|All the drinks|Dog|In College|Smoker when drinking, nature art road trips camping travel,15,2,-3.684574,40.415211,8.481263130845875e+18,"['Sagittarius', 'All the drinks', 'Dog', 'In College', 'Smoker when drinking']","['Nature', 'Art', 'Road Trips', 'Camping', 'Travel']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
21.0,:canada:,['NotSpecified'],,,,Woman,, travel coffee music shopping working out,8,2,-3.684574,40.415211,-2.4560457516438994e+18,[],"['Travel', 'Coffee', 'Music', 'Shopping', 'Working out']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20.0,"we are two housewives, marta (years old) and elena (years old), who live in talavera de la reina and are looking for a couple of companions to go out with and have a good time.",['NotSpecified'],,JOVEN PARA SIEMPRE,Funzo & Baby Loud,Woman,|Aries|B time texter|Socially active|Occasionally|All the drinks|Dog|In College|Social smoker, museum photography art netflix music,1,2,-3.684574,40.415211,-4.3374123773779753e+18,"['Aries', 'B time texter', 'Socially active', 'Occasionally', 'All the drinks', 'Dog', 'In College', 'Social smoker']","['Museum', 'Photography', 'Art', 'Netflix', 'Music']",d6e69250cc1b883fa275e688ec07803ffe92ff210d31a66a7872cf2e83fcf79b
26.0,visiting elrow madrid. just searching for a :face_with_tears_of_joy::electric_plug:,['NotSpecified'],,,,Woman,, travel working out shopping gamer foodie,11,2,-3.684574,40.415211,-8.397812991853928e+18,[],"['Travel', 'Working out', 'Shopping', 'Gamer', 'Foodie']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
19.0,let's be friends or maybe more   wanna come to thailand ?,['NotSpecified'],,Hrs & Hrs,Muni Long,Woman,|Aquarius|B|Non-smoker|Dog|In Grad School, dog lover netflix korean dramas shopping foodie,11,2,-3.684574,40.415211,4.740984448930648e+18,"['Aquarius', 'B', 'Non-smoker', 'Dog', 'In Grad School']","['Dog lover', 'Netflix', 'Korean Dramas', 'Shopping', 'Foodie']",d2a75cce28f420413dcdecc678f564dc43876c98803ddf05c37bb0ee4f3cebf3
21.0,in madrid for a few days; where’s good to go?,['NotSpecified'],NU,,,Woman,|Pisces|Better in person|Non-smoker|Cocktails|Gym rat|Bachelors, working out travel art,5,2,-3.684574,40.415211,8.816095146843762e+18,"['Pisces', 'Better in person', 'Non-smoker', 'Cocktails', 'Gym rat', 'Bachelors']","['Working out', 'Travel', 'Art']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
