age,bio,job,school,anthem_title,anthem_artist,gender,descriptor_text,interest_text,total_photos,desition,longitud,latitud,hash_key,descriptor,interest,city_hashed
23,Que si quiero o q si techno?|La del eyeliner en busca del gracioso||,['NotSpecified'],,Mood Swings (feat. Lil Tjay),Pop Smoke; Lil Tjay,['NotSpecified'],|Pisces|Better in person|Beer,,15,2,-3.684574,40.415211,-338877956337704789,"['Pisces', 'Better in person', 'Beer']",[],500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
27,Con algo que hacer mañana.|,['NotSpecified'],,,,['NotSpecified'],,,14,2,-3.684574,40.415211,6305302478503846340,[],[],4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
20,Unos porritos y una birra o nos vamos de rave? | |Un poko de punk y se me olvida to.||Buscando salir de la rutina en la k toy sumergida.||Más vicios q aficiones. ||Mucho amor pa la músika y muerte pal fascismo 🖤||,['ketalal'],,Visiones de la Muerte,Fertil Miseria,['NotSpecified'],|Scorpio|Pet-free|Smoker|Beer,|Coffee|Writer|Craft Beer|Wine|Extrovert,8,2,-3.684574,40.415211,-6136008243697900119,"['Scorpio', 'Pet-free', 'Smoker', 'Beer']","['Coffee', 'Writer', 'Craft Beer', 'Wine', 'Extrovert']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
22,Simpática pero torpe.|Divertida pero cabezota.|Payasa pero buena muchacha.|Guapa menos por las mañana.||Estrella Galicia lo mejor 🌍 porque Galica calidade,['NotSpecified'],,,,['NotSpecified'],|Taurus|Beer,|Music|Camping|Travel|Grab a drink,8,2,-3.684574,40.415211,5360211791212666736,"['Taurus', 'Beer']","['Music', 'Camping', 'Travel', 'Grab a drink']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
26,Something different!,['NotSpecified'],Uem,,,['NotSpecified'],,|Fashion|Festivals|Travel|Esports,1,2,-3.684574,40.415211,-466523896150699496,[],"['Fashion', 'Festivals', 'Travel', 'Esports']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
21,||👮🏻‍♀️💙||Aquí la gente es mucho de cerveza; pero que queréis que os da; yo soy más de vinos 🥂🍷||El amor de mi vida tiene 4 patas y se llama Lola||Lo q más me gusta en la vida son los atardeceres; ¿vamos?,['NotSpecified'],,,,['NotSpecified'],|Socially active|Virgo|Wine|Dog|Smoker,|Wine|Foodie|Dog lover,15,2,-3.684574,40.415211,5196545404679381287,"['Socially active', 'Virgo', 'Wine', 'Dog', 'Smoker']","['Wine', 'Foodie', 'Dog lover']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
18,si eres facha vuelve x dnd has venido|cada dia tengo el pelo d un color diferente|xfixfixfi gente q le guste el metal/punk/numetal necesito gente cn qn ir a conciertos,['NotSpecified'],,My Own Summer (Shove It),Deftones,['NotSpecified'],|Aquarius|B time texter|Occasionally|All the drinks|All the pets|Smoker,|Festivals|Tattoos|Spirituality|Activism|Music,11,2,-3.684574,40.415211,3261688036424985925,"['Aquarius', 'B time texter', 'Occasionally', 'All the drinks', 'All the pets', 'Smoker']","['Festivals', 'Tattoos', 'Spirituality', 'Activism', 'Music']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
18,11:11🫀|🇻🇪,['NotSpecified'],,,,['Woman'],|Virgo|Gym rat,|Festivals|Instagram|Travel|World Traveler|Shopping,5,2,-3.684574,40.415211,4220185118280645795,"['Virgo', 'Gym rat']","['Festivals', 'Instagram', 'Travel', 'World Traveler', 'Shopping']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
34,Chica trans 🏳️‍⚧️ |Si te gusta; ¿por qué te asusta?|¿Existen los empotradores cariñosos? 🤭|,['NotSpecified'],,Luces de Neón,Varry Brava,['NotSpecified'],|Capricorn|Better in person|Occasionally|Non-smoker|Beer|Carnivore|All the pets|Off the grid|Bachelors,|Reading|Travel|Movies|Disney|Netflix,8,2,-3.684574,40.415211,7696505827663286190,"['Capricorn', 'Better in person', 'Occasionally', 'Non-smoker', 'Beer', 'Carnivore', 'All the pets', 'Off the grid', 'Bachelors']","['Reading', 'Travel', 'Movies', 'Disney', 'Netflix']",4f53cda18c2baa0c0354bb5f9a3ecbe5ed12ab4d8e11ba873c2f11161202b945
23,Chica divertida; sincera apasionada de la música |Cocinera y repostera 👩🏻‍🍳🧁|Busco amistades; nada en concreto pero lo que surja va bien ✨,['cocinera at restaurante'],Universidad Autónoma de Madrid,The Nhts,Avicii,['NotSpecified'],|Aries|B time texter|Occasionally|Non-smoker|Socially active|All the drinks|Carnivore|Dog|In College,|Foodie|Photography|Musician|Tattoos|Cooking,11,2,-3.684574,40.415211,-7564958797505563285,"['Aries', 'B time texter', 'Occasionally', 'Non-smoker', 'Socially active', 'All the drinks', 'Carnivore', 'Dog', 'In College']","['Foodie', 'Photography', 'Musician', 'Tattoos', 'Cooking']",500a2b51765bf57441a2a5ba95621dcccc92722c51d321cef2d28c0084181b2f
